DATE,SCORE,SUBJECT,REVIEW,REVIEW_en
25 de março de 2022,50,Visita - Coco Bambu Meireles,Curti demais! Ponto positivo para o atendimento. Fui muito bem atendido pelo Jonathan! Espero voltar em breve e ter uma experiência boa novamente!,I liked it too much! Positive point for service. I was very well attended by Jonathan! Hope to come back soon and have a good experience again!
24 de março de 2022,50,Aniversário do Davi,"Estivemos hoje no coco bambu e fomos muito bem atendidos pelo Rubens. Foi aniversário do meu marido e ele conseguiu dar conta de atender de forma sorridente, educada... 🙌","We were today at Coco Bamboo and we were very well attended by Rubens. It was my husband's birthday and he managed to answer in a smiling, polite way... 🙌"
21 de março de 2022,50,M-A-R-A-V-I-L-H-O-S-O,"Comida deliciosa e atendimento extremamente bom, o garçom Isaías nos tratou muito bem! Se você vir aqui, saiba que vai comer super bem e procure o garçom Isaías.","Delicious food and extremely good service, the waiter Isaías treated us very well! If you come here, know that you will eat very well and look for the waiter Isaías."
19 de março de 2022,50,Muito bom,"Como sempre comida maravilhosa, nada a reclamar, ambiente agradável com música ambiente e garçons educados e atenciosos","As always, wonderful food, nothing to complain about, pleasant atmosphere with ambient music and polite and attentive waiters"
18 de março de 2022,50,Atendimento maravilhoso do Léo,"Fomos um dos primeiros clientes do Léo e fidelizamos; atendimento especializado, simplicidade e sofisticação, além de ser cortez. Casa maravilhosa, comida excepcional, fica a dica!","We were one of Léo's first customers and we became loyal; specialized service, simplicity and sophistication, in addition to being courteous. Wonderful house, exceptional food, here's the tip!"
18 de março de 2022,50,Rubens atendentes exelente,"Rubens é um garçom nuito dedicado pelos clientes. Ele ten a capacidade de se posicionar de forma eficiente, sempre querendo ameliorar a experiência do cliente.","Rubens is a very dedicated waiter for his customers. He has the ability to position himself efficiently, always wanting to improve the customer experience."
18 de março de 2022,50,Aniversário,"Ótimo atendimento, comida excelente. Fomos atendidos pelo Auristenio, que nos atendeu com muita educação.","Great service, excellent food. We were attended by Auristenio, who served us very politely."
18 de março de 2022,50,Atendimento excelente,"Tudo muito gostoso e o atendimento excelente, garçons maravilhosos super atenciosos e profissionais… Walmir e Rubens dois excelentes profissionais… Recomendo…","Everything was delicious and the service was excellent, wonderful waiters, super attentive and professional… Walmir and Rubens, two excellent professionals… I recommend…"
17 de março de 2022,50,Atendimento ótimo,"Muito gentil e maravilhoso, prato excelente, ambiente muito bom, garçom muito prestativo, amei demais .","Very kind and wonderful, excellent dish, very good atmosphere, very helpful waiter, I loved it so much."
17 de março de 2022,50,Excelente jantar,"Fomos atendidos pelo Sr. Auristenio, o qual nós pretou um excelente atendimento, bem como, fomos recepcionados pela Sra. Tainá a qual nós deixou bem à vontade. Ótimo espaço é contável!","We were served by Mr. Auristenio, who provided us with excellent service, as well as, we were welcomed by Mrs. Taina, who made us feel at ease. Great space is countable!"
17 de março de 2022,50,Atendimento otimo,Maravilhoso atendimento garcon Leo melhor super agradável educado pratos maravilhosos ambiente agradável amei tudo volto logo.,Wonderful service garcon Leo best super pleasant polite wonderful dishes pleasant atmosphere I loved everything I'll be back soon.
17 de março de 2022,50,Almoço no cocobambu,"Atendimento maravilhoso dos garçons Rafael Lima e Auristeno, super atenciosos e comida deliciosa!!!!","Wonderful service from the waiters Rafael Lima and Auristeno, super attentive and delicious food!!!!"
17 de março de 2022,50,Aniversário - almoço,Experiência excepcional pelo meu amigo Auristenio! E comida excepcional ( camarão olinda)! Ainda recebi um bolo simbólico para cantar os parabéns,Exceptional experience by my friend Auristenio! And exceptional food ( shrimp olinda)! I even received a symbolic cake to sing happy birthday
17 de março de 2022,50,Atendimento do André!,"O atendimento do André foi maravilhoso, a comida estava saborosa e muito bem servida! Voltarei em breve, com certeza..","André's service was wonderful, the food was tasty and very well served! I will be back soon for sure.."
17 de março de 2022,50,Incrível!,Atendimento do André é impecável! Comida boa demais e qualidade de atendimento! Pedimos entradas de camarão e super valeu a pena!,Andrew's service is impeccable! Very good food and quality of service! We ordered shrimp starters and it was super worth it!
17 de março de 2022,50,Almoço com amigo,Atendimento garçom Rafael Lima Excelente atendimento Prato delicioso Ambiente agradável Super recomendo,Service waiter Rafael Lima Excellent service Delicious dish Pleasant atmosphere I highly recommend
17 de março de 2022,50,Almoça,Atendimento e comida muito bons. Ambiente super agradável e garçon Andre muito atencioso. Voltarei mais vezes,Service and food very good. Super nice atmosphere and very attentive waiter Andre. I will come back more often
17 de março de 2022,50,Ótimo atendimento!,Ótimo atendimento garçom muito gente boa e super atento me senti muito bem atendido!!!! Obrigado ao estabelecimento!,Great service waiter very nice people and super attentive I felt very well attended!!!! Thanks to the establishment!
17 de março de 2022,50,Almoço,"André. Ótimo garçom, atencioso. Sem falar na comida. Uma delícia , ambiente totalmente agradável....","Andrew. Great, attentive waiter. Not to mention the food. A delight, totally pleasant atmosphere...."
17 de março de 2022,50,Almoco,"Atendimento excelente do André,o camarão maravilhooooooooooo. Ambiente iluminação música. Simplesmente maravilhoso","Excellent service from André, the maravilhooooooooo shrimp. Ambient lighting music. Just wonderful"
